time;x;y;z
0.920;0.466;-0.470;0.749
0.925;0.501;-0.447;0.799
0.930;0.525;-0.413;0.831
0.937;0.530;-0.390;0.859
0.940;0.528;-0.396;0.875
0.944;0.532;-0.419;0.877
0.949;0.521;-0.448;0.869
0.954;0.533;-0.488;0.855
0.959;0.559;-0.534;0.836
0.964;0.547;-0.578;0.801
0.980;0.536;-0.626;0.743
0.981;0.545;-0.664;0.645
0.984;0.550;-0.690;0.539
0.993;0.584;-0.705;0.468
0.994;0.647;-0.694;0.435
1.016;0.694;-0.660;0.436
1.017;0.721;-0.634;0.443
1.017;0.736;-0.628;0.458
1.018;0.712;-0.616;0.465
1.018;0.700;-0.624;0.461
1.024;0.698;-0.641;0.451
1.027;0.705;-0.664;0.439
1.032;0.699;-0.662;0.417
1.037;0.704;-0.640;0.392
1.042;0.735;-0.603;0.360
1.047;0.782;-0.545;0.318
1.054;0.815;-0.478;0.280
1.057;0.820;-0.429;0.253
1.061;0.799;-0.404;0.235
1.066;0.780;-0.402;0.219
1.084;0.784;-0.419;0.217
1.085;0.809;-0.443;0.223
1.087;0.945;-0.453;0.321
1.120;1.142;-0.455;0.467
1.121;1.207;-0.490;0.470
1.121;1.260;-0.540;0.441
1.122;1.340;-0.586;0.407
1.123;1.434;-0.634;0.377
1.124;1.534;-0.684;0.357
1.126;1.653;-0.737;0.319
1.128;1.790;-0.786;0.244
1.130;1.902;-0.813;0.163
1.132;1.748;-0.752;0.108
1.136;1.381;-0.598;-0.007
1.144;1.134;-0.496;-0.134
1.145;1.101;-0.503;-0.179
1.150;1.143;-0.556;-0.161
1.159;1.210;-0.583;-0.202
1.160;1.251;-0.595;-0.254
1.164;1.150;-0.578;-0.221
1.176;0.922;-0.597;-0.041
1.177;0.717;-0.697;0.227
1.179;0.597;-0.780;0.255
1.185;0.547;-0.825;0.230
1.205;0.529;-0.842;0.138
1.206;0.489;-0.817;0.127
1.207;0.437;-0.805;0.105
1.207;0.304;-0.868;0.103
1.208;0.076;-0.984;0.023
1.213;0.084;-0.948;0.026
