time;x;y;z
4.019;0.277;-0.994;0.057
4.019;0.281;-0.975;0.042
4.019;0.281;-0.953;0.024
4.020;0.277;-0.933;0.011
4.020;0.267;-0.919;0.008
4.020;0.258;-0.904;0.007
4.021;0.249;-0.890;0.009
4.026;0.244;-0.879;0.016
4.031;0.243;-0.875;0.024
4.036;0.238;-0.877;0.038
4.041;0.233;-0.877;0.063
4.048;0.233;-0.878;0.086
4.051;0.234;-0.880;0.100
4.056;0.238;-0.886;0.108
4.064;0.241;-0.895;0.113
4.066;0.236;-0.904;0.112
4.071;0.234;-0.916;0.118
4.076;0.240;-0.926;0.125
4.096;0.242;-0.932;0.131
4.098;0.242;-0.938;0.139
4.099;0.242;-0.943;0.148
4.101;0.240;-0.949;0.155
4.103;0.237;-0.953;0.162
4.106;0.234;-0.960;0.164
4.109;0.231;-0.970;0.167
4.137;0.234;-0.978;0.170
4.138;0.237;-0.989;0.174
4.138;0.240;-1.000;0.178
4.138;0.246;-1.008;0.183
4.138;0.247;-1.022;0.186
4.138;0.252;-1.036;0.198
4.146;0.257;-1.052;0.205
4.148;0.263;-1.066;0.211
4.153;0.267;-1.079;0.219
4.157;0.267;-1.094;0.218
4.166;0.267;-1.110;0.220
4.168;0.268;-1.121;0.219
4.173;0.267;-1.130;0.221
4.192;0.268;-1.134;0.216
4.193;0.262;-1.138;0.215
4.193;0.252;-1.145;0.213
4.197;0.242;-1.152;0.210
4.202;0.240;-1.163;0.208
4.206;0.247;-1.169;0.209
4.211;0.260;-1.170;0.210
4.216;0.281;-1.165;0.204
4.221;0.306;-1.158;0.193
4.226;0.328;-1.152;0.185
4.231;0.346;-1.145;0.177
4.236;0.357;-1.139;0.167
4.241;0.368;-1.129;0.158
4.246;0.376;-1.120;0.149
4.251;0.390;-1.107;0.140
4.255;0.403;-1.095;0.133
4.269;0.421;-1.085;0.127
4.270;0.440;-1.082;0.123
4.273;0.454;-1.081;0.121
4.275;0.465;-1.089;0.123
4.304;0.474;-1.105;0.128
4.305;0.479;-1.126;0.136
4.306;0.481;-1.151;0.147
4.306;0.480;-1.177;0.157
4.308;0.475;-1.200;0.164
4.309;0.468;-1.220;0.169
4.310;0.460;-1.229;0.168
4.315;0.447;-1.222;0.159
4.319;0.433;-1.196;0.151
4.324;0.419;-1.154;0.148
4.329;0.396;-1.103;0.148
4.333;0.367;-1.049;0.149
4.338;0.345;-1.000;0.155
4.346;0.325;-0.957;0.159
4.349;0.299;-0.914;0.162
4.354;0.267;-0.876;0.168
4.359;0.237;-0.844;0.169
4.366;0.212;-0.812;0.162
4.369;0.188;-0.781;0.154
4.375;0.166;-0.754;0.147
4.388;0.141;-0.734;0.148
4.389;0.113;-0.717;0.152
4.390;0.096;-0.705;0.160
4.393;0.084;-0.700;0.171
4.415;0.083;-0.699;0.180
4.416;0.077;-0.704;0.190
4.416;0.058;-0.714;0.200
4.416;0.039;-0.732;0.208
4.417;0.028;-0.760;0.227
4.421;0.014;-0.792;0.242
4.426;0.005;-0.824;0.251
4.431;0.008;-0.860;0.261
4.436;0.007;-0.913;0.272
4.441;0.001;-0.964;0.280
4.447;-0.004;-1.010;0.284
4.456;-0.011;-1.048;0.281
4.460;-0.021;-1.075;0.275
4.466;-0.038;-1.097;0.270
4.477;-0.049;-1.117;0.263
4.477;-0.058;-1.125;0.251
4.487;-0.065;-1.124;0.235
4.488;-0.066;-1.123;0.216
4.490;-0.071;-1.116;0.190
4.534;-0.075;-1.109;0.147
4.535;-0.072;-1.103;0.091
4.535;-0.067;-1.098;0.019
4.536;-0.057;-1.096;-0.070
4.536;-0.045;-1.089;-0.162
4.536;-0.020;-1.082;-0.224
4.536;-0.011;-1.076;-0.246
4.537;-0.015;-1.063;-0.239
4.537;-0.029;-1.043;-0.210
4.539;-0.027;-1.023;-0.170
4.543;-0.014;-1.004;-0.140
4.548;-0.012;-0.984;-0.120
4.554;-0.016;-0.962;-0.114
4.558;-0.008;-0.944;-0.122
4.567;0.009;-0.929;-0.124
4.568;0.025;-0.928;-0.115
4.574;0.049;-0.932;-0.102
4.591;0.080;-0.931;-0.096
4.591;0.103;-0.920;-0.098
4.591;0.116;-0.911;-0.091
4.592;0.133;-0.907;-0.073
4.597;0.149;-0.904;-0.061
4.602;0.135;-0.901;-0.047
4.607;0.110;-0.894;-0.049
4.612;0.078;-0.879;-0.074
4.617;0.056;-0.879;-0.087
4.621;0.054;-0.887;-0.098
4.628;0.061;-0.893;-0.119
4.635;0.063;-0.899;-0.122
4.637;0.066;-0.907;-0.086
4.643;0.085;-0.904;-0.023
4.651;0.103;-0.900;0.027
4.653;0.121;-0.892;0.082
4.657;0.142;-0.881;0.115
4.667;0.152;-0.866;0.128
4.670;0.152;-0.853;0.122
4.673;0.150;-0.849;0.111
4.677;0.143;-0.843;0.085
4.693;0.125;-0.834;0.048
4.695;0.114;-0.825;-0.010
4.696;0.107;-0.806;-0.075
4.728;0.099;-0.791;-0.136
4.729;0.087;-0.778;-0.198
4.730;0.072;-0.769;-0.246
4.731;0.050;-0.761;-0.284
4.732;0.031;-0.743;-0.304
4.734;0.018;-0.723;-0.312
4.735;0.015;-0.704;-0.305
4.736;0.025;-0.690;-0.289
4.739;0.041;-0.686;-0.266
4.744;0.055;-0.699;-0.250
4.749;0.069;-0.720;-0.241
4.754;0.088;-0.742;-0.234
4.759;0.106;-0.767;-0.229
4.775;0.120;-0.792;-0.232
4.776;0.131;-0.820;-0.239
4.778;0.144;-0.849;-0.250
4.801;0.156;-0.879;-0.266
4.801;0.163;-0.910;-0.289
4.801;0.165;-0.942;-0.334
4.802;0.161;-0.980;-0.413
4.802;0.158;-1.024;-0.524
4.803;0.176;-1.077;-0.664
4.807;0.219;-1.142;-0.839
4.814;0.287;-1.209;-1.026
4.817;0.375;-1.263;-1.155
4.822;0.463;-1.291;-1.162
4.827;0.523;-1.289;-1.072
4.833;0.544;-1.264;-0.948
4.837;0.554;-1.224;-0.811
4.843;0.582;-1.179;-0.682
4.851;0.607;-1.126;-0.577
4.853;0.613;-1.062;-0.491
4.857;0.598;-1.012;-0.396
4.862;0.513;-0.988;-0.249
4.868;0.320;-1.014;-0.056
4.872;0.102;-1.100;0.125
4.877;-0.047;-1.204;0.262
4.895;-0.144;-1.288;0.350
4.897;-0.214;-1.360;0.366
4.898;-0.269;-1.438;0.338
4.923;-0.315;-1.517;0.297
4.924;-0.332;-1.584;0.235
4.924;-0.347;-1.642;0.145
4.925;-0.344;-1.666;0.027
4.925;-0.325;-1.652;-0.104
4.925;-0.259;-1.590;-0.213
4.926;-0.132;-1.464;-0.260
4.931;0.013;-1.298;-0.244
4.934;0.094;-1.128;-0.212
4.939;0.112;-0.994;-0.188
4.944;0.087;-0.902;-0.167
4.950;0.051;-0.850;-0.139
4.953;0.001;-0.824;-0.086
4.958;-0.042;-0.806;-0.029
4.972;-0.065;-0.781;0.009
4.973;-0.077;-0.746;0.027
4.978;-0.084;-0.718;0.054
4.979;-0.083;-0.690;0.080
5.001;-0.068;-0.670;0.102
5.002;-0.049;-0.676;0.127
5.002;-0.057;-0.707;0.159
5.003;-0.054;-0.768;0.196
5.008;-0.056;-0.846;0.233
5.014;-0.058;-0.927;0.256
5.017;-0.053;-1.004;0.273
5.022;-0.029;-1.061;0.281
5.027;-0.007;-1.108;0.297
5.032;0.011;-1.144;0.304
5.037;0.036;-1.163;0.284
5.042;0.056;-1.164;0.249
5.049;0.067;-1.146;0.222
5.052;0.078;-1.124;0.202
5.057;0.090;-1.092;0.173
5.063;0.094;-1.056;0.139
5.067;0.087;-1.021;0.111
5.071;0.063;-0.986;0.099
5.076;0.040;-0.950;0.102
5.097;0.029;-0.919;0.119
5.098;0.026;-0.890;0.136
5.099;0.023;-0.865;0.159
5.102;0.022;-0.848;0.182
5.104;0.027;-0.837;0.209
5.106;0.037;-0.832;0.238
5.111;0.045;-0.828;0.268
5.141;0.056;-0.826;0.296
5.142;0.072;-0.829;0.321
5.143;0.085;-0.835;0.343
5.143;0.101;-0.844;0.359
5.143;0.116;-0.854;0.368
5.144;0.124;-0.866;0.368
5.145;0.126;-0.872;0.360
5.150;0.125;-0.872;0.343
5.156;0.123;-0.871;0.322
5.160;0.121;-0.868;0.294
5.174;0.119;-0.864;0.271
5.176;0.122;-0.862;0.258
5.177;0.125;-0.855;0.249
5.179;0.128;-0.854;0.240
5.202;0.128;-0.855;0.228
5.203;0.129;-0.863;0.223
5.204;0.126;-0.875;0.227
5.204;0.105;-0.885;0.232
5.205;0.092;-0.897;0.228
5.208;0.088;-0.905;0.217
5.215;0.094;-0.907;0.196
5.217;0.109;-0.903;0.173
5.223;0.122;-0.907;0.163
5.227;0.137;-0.914;0.158
5.232;0.147;-0.919;0.151
5.237;0.146;-0.931;0.157
5.242;0.145;-0.938;0.144
5.251;0.162;-0.946;0.134
5.252;0.173;-0.958;0.156
5.262;0.164;-0.977;0.181
5.267;0.158;-0.987;0.201
5.271;0.162;-0.989;0.195
5.276;0.175;-0.984;0.179
5.301;0.187;-0.985;0.166
5.303;0.194;-0.983;0.149
5.303;0.197;-0.984;0.135
5.304;0.206;-0.982;0.124
5.304;0.221;-0.983;0.111
5.307;0.232;-0.986;0.102
5.312;0.244;-0.985;0.091
5.351;0.251;-0.982;0.075
5.353;0.255;-0.980;0.058
5.354;0.257;-0.979;0.044
5.354;0.254;-0.980;0.028
5.355;0.249;-0.985;0.010
5.356;0.233;-0.993;-0.020
5.357;0.213;-1.001;-0.066
5.358;0.188;-1.007;-0.151
5.358;0.153;-1.022;-0.268
5.359;0.117;-1.048;-0.375
5.367;0.097;-1.076;-0.409
5.369;0.110;-1.100;-0.342
5.375;0.163;-1.122;-0.199
5.380;0.234;-1.138;-0.047
5.392;0.291;-1.150;0.077
5.393;0.321;-1.159;0.162
5.394;0.335;-1.161;0.212
5.420;0.341;-1.150;0.235
5.421;0.347;-1.126;0.239
5.421;0.358;-1.099;0.233
5.422;0.373;-1.075;0.221
5.422;0.391;-1.057;0.210
5.424;0.406;-1.049;0.201
5.428;0.416;-1.044;0.191
5.432;0.423;-1.041;0.190
5.437;0.427;-1.041;0.183
5.442;0.425;-1.042;0.184
5.450;0.426;-1.050;0.196
5.453;0.433;-1.056;0.198
5.457;0.443;-1.057;0.191
5.464;0.457;-1.053;0.182
5.468;0.471;-1.049;0.165
5.473;0.475;-1.046;0.137
5.478;0.473;-1.042;0.126
5.488;0.487;-1.052;0.150
5.488;0.494;-1.079;0.192
5.491;0.491;-1.124;0.246
5.496;0.506;-1.179;0.308
5.501;0.534;-1.226;0.359
5.506;0.535;-1.234;0.381
5.511;0.510;-1.212;0.351
5.546;0.510;-1.245;0.402
5.547;0.502;-1.205;0.419
5.548;0.570;-1.191;0.352
5.549;0.527;-1.167;0.323
5.549;0.487;-1.095;0.292
5.550;0.445;-1.003;0.250
5.556;0.381;-0.932;0.228
5.557;0.356;-0.870;0.208
5.560;0.322;-0.826;0.202
5.571;0.289;-0.804;0.246
5.572;0.305;-0.788;0.319
5.579;0.298;-0.777;0.353
5.599;0.269;-0.795;0.398
5.599;0.265;-0.823;0.445
5.600;0.280;-0.859;0.498
5.600;0.299;-0.892;0.545
5.600;0.321;-0.921;0.566
5.604;0.329;-0.946;0.558
5.608;0.319;-0.969;0.544
5.613;0.305;-0.987;0.526
5.618;0.284;-1.004;0.510
5.623;0.265;-1.019;0.485
5.628;0.245;-1.032;0.452
5.635;0.220;-1.034;0.415
5.638;0.197;-1.034;0.377
5.643;0.165;-1.039;0.340
5.653;0.127;-1.053;0.307
5.654;0.093;-1.073;0.268
5.658;0.062;-1.096;0.213
5.666;0.030;-1.127;0.138
5.668;-0.002;-1.164;0.032
5.672;-0.035;-1.196;-0.102
5.677;-0.071;-1.216;-0.215
5.693;-0.096;-1.221;-0.254
5.695;-0.094;-1.215;-0.212
5.696;-0.090;-1.195;-0.122
5.698;-0.086;-1.162;-0.032
5.740;-0.083;-1.120;0.044
5.740;-0.077;-1.081;0.104
5.741;-0.069;-1.052;0.141
5.741;-0.070;-1.024;0.154
5.741;-0.076;-1.005;0.148
5.741;-0.079;-0.988;0.141
5.741;-0.087;-0.969;0.131
5.742;-0.100;-0.955;0.130
5.742;-0.113;-0.940;0.123
5.746;-0.129;-0.924;0.119
5.753;-0.151;-0.906;0.115
5.755;-0.179;-0.893;0.115
5.760;-0.198;-0.877;0.111
5.766;-0.209;-0.852;0.104
5.770;-0.225;-0.833;0.095
5.774;-0.239;-0.817;0.077
5.779;-0.241;-0.800;0.053
5.793;-0.236;-0.778;0.025
5.794;-0.225;-0.759;0.015
5.836;-0.227;-0.746;0.011
5.836;-0.229;-0.730;-0.003
5.837;-0.240;-0.723;-0.002
5.837;-0.235;-0.712;-0.014
5.837;-0.227;-0.704;-0.013
5.838;-0.205;-0.693;-0.016
5.838;-0.174;-0.675;-0.003
5.838;-0.136;-0.659;0.063
5.838;-0.112;-0.661;0.030
5.844;-0.118;-0.647;0.015
5.852;-0.120;-0.644;0.012
5.853;-0.106;-0.638;0.022
5.857;-0.084;-0.631;0.031
5.862;-0.077;-0.625;0.032
5.868;-0.078;-0.621;0.029
5.872;-0.085;-0.624;0.013
5.878;-0.087;-0.636;0.014
5.892;-0.084;-0.647;0.043
5.893;-0.057;-0.662;0.065
5.893;-0.023;-0.692;0.077
5.897;0.007;-0.733;0.068
5.927;0.016;-0.777;0.056
5.928;0.018;-0.817;0.047
5.928;0.031;-0.856;0.029
5.929;0.042;-0.894;0.009
5.929;0.037;-0.930;-0.013
5.930;0.033;-0.961;-0.045
5.931;0.036;-0.988;-0.087
5.936;0.051;-1.014;-0.144
5.940;0.074;-1.038;-0.222
5.946;0.099;-1.061;-0.306
5.953;0.131;-1.085;-0.395
5.955;0.163;-1.108;-0.489
5.960;0.200;-1.132;-0.581
5.969;0.226;-1.156;-0.672
5.970;0.247;-1.181;-0.755
5.975;0.273;-1.213;-0.833
5.980;0.296;-1.259;-0.884
5.989;0.296;-1.314;-0.947
5.990;0.293;-1.361;-1.085
5.994;0.304;-1.390;-1.326
6.015;0.340;-1.391;-1.542
6.016;0.365;-1.355;-1.637
6.016;0.357;-1.304;-1.636
6.017;0.337;-1.258;-1.562
6.018;0.295;-1.201;-1.416
6.023;0.235;-1.136;-1.248
6.028;0.165;-1.065;-1.087
6.034;0.094;-0.973;-0.901
6.038;0.029;-0.881;-0.661
6.043;-0.026;-0.787;-0.388
6.048;-0.075;-0.679;-0.167
6.053;-0.152;-0.599;-0.054
6.057;-0.248;-0.645;-0.055
6.084;-0.290;-0.808;-0.012
6.086;-0.253;-0.998;0.127
6.087;-0.187;-1.174;0.262
6.088;-0.128;-1.337;0.335
6.089;-0.060;-1.489;0.348
6.092;0.005;-1.606;0.310
6.097;0.067;-1.673;0.229
6.117;0.095;-1.681;0.127
6.117;0.125;-1.630;0.038
6.117;0.130;-1.536;-0.019
6.118;0.121;-1.425;-0.045
6.121;0.103;-1.300;-0.066
6.126;0.076;-1.170;-0.087
6.130;0.033;-1.037;-0.119
6.136;-0.031;-0.922;-0.142
6.140;-0.034;-0.818;-0.138
6.146;-0.015;-0.731;-0.114
6.151;-0.038;-0.669;-0.090
6.155;-0.076;-0.637;-0.075
6.160;-0.110;-0.638;-0.067
6.166;-0.131;-0.676;-0.038
6.171;-0.149;-0.730;-0.032
6.176;-0.174;-0.788;-0.035
6.181;-0.212;-0.851;-0.003
6.203;-0.282;-0.940;0.082
6.204;-0.354;-1.040;0.193
6.204;-0.412;-1.120;0.303
6.205;-0.440;-1.165;0.389
6.205;-0.408;-1.179;0.450
6.210;-0.336;-1.166;0.421
6.214;-0.261;-1.135;0.336
6.238;-0.188;-1.099;0.301
6.238;-0.124;-1.067;0.285
6.238;-0.105;-1.039;0.244
6.239;-0.124;-1.027;0.198
6.239;-0.169;-1.023;0.192
6.243;-0.195;-1.010;0.228
6.248;-0.191;-0.998;0.275
6.253;-0.161;-0.989;0.320
6.258;-0.116;-0.977;0.353
6.263;-0.072;-0.952;0.381
6.279;-0.034;-0.924;0.411
6.280;0.002;-0.894;0.430
6.281;0.037;-0.864;0.428
6.304;0.066;-0.839;0.410
6.305;0.095;-0.817;0.387
6.305;0.117;-0.802;0.364
6.306;0.135;-0.798;0.350
6.306;0.146;-0.798;0.344
6.306;0.149;-0.797;0.336
6.311;0.140;-0.799;0.325
6.318;0.127;-0.796;0.306
6.321;0.124;-0.795;0.284
6.331;0.126;-0.790;0.271
6.336;0.127;-0.794;0.258
6.341;0.128;-0.803;0.252
6.346;0.138;-0.810;0.246
6.354;0.148;-0.816;0.244
6.355;0.158;-0.819;0.242
6.360;0.167;-0.830;0.242
6.366;0.181;-0.842;0.236
6.371;0.195;-0.859;0.238
6.375;0.216;-0.869;0.245
6.380;0.231;-0.872;0.248
6.391;0.237;-0.874;0.257
6.392;0.226;-0.881;0.273
6.394;0.204;-0.900;0.284
6.415;0.198;-0.915;0.289
6.416;0.218;-0.917;0.288
6.416;0.246;-0.909;0.272
6.417;0.274;-0.900;0.255
6.422;0.297;-0.893;0.245
6.424;0.308;-0.892;0.238
6.429;0.312;-0.890;0.232
6.435;0.315;-0.884;0.223
6.438;0.318;-0.880;0.214
6.443;0.318;-0.878;0.208
6.448;0.317;-0.878;0.198
6.453;0.317;-0.879;0.193
6.458;0.320;-0.883;0.190
6.465;0.322;-0.889;0.183
6.481;0.326;-0.897;0.170
6.484;0.334;-0.909;0.154
6.484;0.343;-0.924;0.134
6.523;0.351;-0.938;0.106
6.523;0.364;-0.953;0.068
6.523;0.380;-0.965;0.016
6.523;0.399;-0.977;-0.041
6.524;0.417;-0.994;-0.086
6.524;0.436;-1.013;-0.123
6.524;0.459;-1.031;-0.158
6.524;0.487;-1.050;-0.199
6.524;0.515;-1.070;-0.241
6.526;0.539;-1.094;-0.243
6.531;0.551;-1.114;-0.190
6.540;0.556;-1.130;-0.087
6.541;0.555;-1.148;0.020
6.546;0.554;-1.160;0.099
6.551;0.550;-1.165;0.141
6.556;0.544;-1.173;0.138
6.560;0.533;-1.172;0.103
6.565;0.509;-1.163;0.031
6.571;0.474;-1.142;-0.030
6.575;0.439;-1.116;-0.061
6.580;0.412;-1.092;-0.037
6.587;0.392;-1.079;0.027
6.590;0.379;-1.097;0.114
6.608;0.372;-1.140;0.193
6.609;0.354;-1.198;0.250
6.609;0.326;-1.278;0.281
6.614;0.289;-1.369;0.285
6.619;0.258;-1.452;0.241
6.624;0.227;-1.495;0.151
6.628;0.195;-1.486;0.050
6.634;0.160;-1.429;-0.028
6.638;0.116;-1.345;-0.063
6.643;0.092;-1.265;-0.043
6.648;0.017;-1.215;0.008
6.653;-0.106;-1.186;0.043
6.658;-0.250;-1.169;0.065
6.664;-0.403;-1.180;0.094
6.671;-0.476;-1.207;0.108
6.673;-0.435;-1.205;0.127
6.677;-0.322;-1.187;0.160
6.683;-0.248;-1.196;0.172
6.696;-0.209;-1.204;0.182
6.697;-0.184;-1.204;0.207
6.697;-0.177;-1.224;0.241
6.702;-0.193;-1.256;0.283
6.707;-0.212;-1.282;0.321
6.712;-0.228;-1.295;0.357
6.719;-0.249;-1.297;0.388
6.722;-0.263;-1.286;0.399
6.727;-0.260;-1.280;0.403
6.732;-0.250;-1.281;0.398
6.739;-0.242;-1.271;0.357
6.741;-0.226;-1.242;0.270
6.746;-0.197;-1.197;0.141
6.754;-0.154;-1.136;-0.026
6.757;-0.098;-1.063;-0.202
6.761;-0.036;-0.988;-0.334
6.767;0.020;-0.921;-0.389
6.775;0.035;-0.866;-0.367
6.777;0.023;-0.821;-0.302
6.781;0.001;-0.772;-0.209
6.794;-0.035;-0.728;-0.118
6.795;-0.052;-0.691;-0.038
6.796;-0.031;-0.659;0.012
6.800;-0.030;-0.626;0.033
6.827;-0.067;-0.610;0.045
6.828;-0.072;-0.609;0.055
6.828;-0.078;-0.605;0.069
6.829;-0.079;-0.595;0.091
6.829;-0.065;-0.583;0.100
6.829;-0.024;-0.579;0.102
6.836;0.018;-0.587;0.099
6.839;0.031;-0.601;0.085
6.843;0.026;-0.621;0.047
6.848;0.033;-0.633;0.025
6.853;0.042;-0.665;0.015
6.858;0.055;-0.687;0.056
6.884;0.066;-0.736;0.051
6.885;0.054;-0.786;0.067
6.885;-0.003;-0.828;0.084
6.885;-0.049;-0.855;0.107
6.889;0.062;-0.886;0.038
6.893;0.102;-0.917;-0.041
6.898;0.127;-0.952;-0.122
6.910;0.129;-0.984;-0.185
6.911;0.129;-1.002;-0.221
6.912;0.129;-1.002;-0.238
6.917;0.138;-0.987;-0.229
6.922;0.160;-0.961;-0.210
6.927;0.184;-0.924;-0.195
6.931;0.211;-0.886;-0.179
6.936;0.244;-0.848;-0.162
6.941;0.279;-0.815;-0.162
6.948;0.308;-0.784;-0.174
6.957;0.307;-0.763;-0.191
6.971;0.284;-0.752;-0.216
6.972;0.254;-0.752;-0.241
6.973;0.232;-0.765;-0.264
6.975;0.227;-0.776;-0.295
6.976;0.228;-0.783;-0.343
6.986;0.250;-0.797;-0.402
6.987;0.280;-0.817;-0.458
6.990;0.318;-0.842;-0.520
6.995;0.360;-0.864;-0.601
7.000;0.381;-0.882;-0.692
7.011;0.375;-0.904;-0.790
7.012;0.369;-0.937;-0.851
7.015;0.372;-0.985;-0.824
7.066;0.375;-1.037;-0.772
7.067;0.368;-1.088;-0.755
7.068;0.378;-1.144;-0.771
7.068;0.372;-1.212;-0.829
7.069;0.347;-1.284;-0.983
7.069;0.356;-1.334;-1.212
7.070;0.361;-1.338;-1.359
7.070;0.350;-1.306;-1.367
7.071;0.355;-1.255;-1.319
7.071;0.403;-1.193;-1.286
7.071;0.447;-1.122;-1.176
7.075;0.428;-1.054;-0.954
7.078;0.368;-1.008;-0.641
7.083;0.233;-0.983;-0.257
7.091;0.048;-0.988;0.151
7.094;-0.164;-1.001;0.485
7.098;-0.264;-1.035;0.686
7.113;-0.299;-1.120;0.716
7.114;-0.301;-1.209;0.616
7.114;-0.285;-1.293;0.485
7.117;-0.247;-1.364;0.375
7.122;-0.229;-1.424;0.259
7.127;-0.256;-1.475;0.094
7.137;-0.357;-1.498;-0.431
7.141;-0.620;-1.494;-1.596
7.147;-0.714;-1.450;-1.849
7.155;-0.378;-1.342;-0.965
7.157;-0.017;-1.242;-0.123
7.161;0.118;-1.128;0.306
7.166;0.103;-0.994;0.424
7.172;0.019;-0.886;0.403
7.176;-0.053;-0.809;0.345
7.181;-0.106;-0.746;0.299
7.202;-0.127;-0.709;0.254
7.206;-0.117;-0.695;0.213
7.207;-0.106;-0.707;0.180
7.207;-0.116;-0.734;0.159
7.208;-0.128;-0.774;0.154
7.212;-0.129;-0.829;0.152
7.216;-0.112;-0.896;0.162
7.243;-0.094;-0.961;0.185
7.245;-0.087;-1.012;0.206
7.245;-0.084;-1.042;0.227
7.246;-0.082;-1.054;0.251
7.247;-0.074;-1.049;0.264
7.248;-0.059;-1.034;0.263
7.249;-0.034;-1.013;0.258
7.255;-0.011;-0.994;0.243
7.259;0.010;-0.972;0.209
7.264;0.020;-0.952;0.160
7.270;0.013;-0.938;0.125
7.274;0.003;-0.924;0.100
7.279;-0.003;-0.910;0.081
7.284;-0.006;-0.888;0.070
7.302;-0.006;-0.865;0.073
7.303;-0.000;-0.848;0.095
7.304;0.013;-0.836;0.130
7.305;0.029;-0.825;0.175
7.332;0.047;-0.815;0.223
7.333;0.062;-0.803;0.265
7.333;0.070;-0.789;0.294
7.333;0.073;-0.775;0.315
7.333;0.072;-0.762;0.339
7.334;0.070;-0.751;0.358
7.337;0.077;-0.743;0.368
7.342;0.083;-0.750;0.383
7.347;0.084;-0.753;0.392
7.353;0.095;-0.759;0.364
7.356;0.137;-0.769;0.336
7.362;0.168;-0.778;0.321
7.367;0.178;-0.791;0.335
7.373;0.176;-0.809;0.353
7.377;0.187;-0.823;0.365
7.382;0.192;-0.840;0.364
7.399;0.201;-0.853;0.357
7.400;0.205;-0.858;0.344
7.403;0.203;-0.869;0.334
7.434;0.203;-0.882;0.330
7.435;0.205;-0.895;0.323
7.435;0.210;-0.910;0.322
7.435;0.216;-0.924;0.320
7.436;0.222;-0.939;0.320
7.436;0.228;-0.958;0.328
7.436;0.238;-0.977;0.336
7.440;0.251;-0.992;0.341
7.444;0.261;-1.008;0.350
7.449;0.269;-1.024;0.360
7.454;0.271;-1.035;0.357
7.459;0.281;-1.039;0.346
7.464;0.294;-1.047;0.327
7.478;0.303;-1.054;0.302
7.479;0.320;-1.053;0.270
7.484;0.348;-1.046;0.232
7.485;0.376;-1.045;0.187
7.530;0.408;-1.039;0.131
7.530;0.449;-1.025;0.076
7.531;0.491;-1.015;0.014
7.531;0.528;-1.024;-0.054
7.531;0.541;-1.044;-0.126
7.531;0.530;-1.058;-0.201
7.532;0.519;-1.067;-0.271
7.532;0.506;-1.075;-0.354
7.532;0.502;-1.077;-0.503
7.533;0.491;-1.078;-0.724
7.538;0.467;-1.090;-0.860
7.542;0.459;-1.105;-0.734
7.547;0.482;-1.111;-0.438
7.552;0.497;-1.106;-0.148
7.557;0.492;-1.109;0.044
7.562;0.481;-1.117;0.145
7.568;0.466;-1.125;0.201
7.586;0.449;-1.129;0.232
7.588;0.443;-1.132;0.243
7.588;0.446;-1.135;0.242
7.593;0.452;-1.139;0.235
7.594;0.464;-1.142;0.220
7.596;0.470;-1.135;0.210
7.601;0.463;-1.115;0.199
7.627;0.455;-1.085;0.190
7.627;0.455;-1.048;0.180
7.628;0.480;-1.015;0.175
7.628;0.527;-1.014;0.186
7.628;0.575;-1.054;0.212
7.630;0.614;-1.114;0.243
7.635;0.637;-1.186;0.262
7.640;0.658;-1.262;0.266
7.645;0.673;-1.345;0.264
7.651;0.673;-1.414;0.250
7.656;0.659;-1.455;0.268
7.666;0.610;-1.444;0.270
7.675;0.541;-1.391;0.232
7.677;0.441;-1.311;0.186
7.680;0.340;-1.222;0.128
7.685;0.272;-1.137;0.077
7.701;0.226;-1.076;0.051
7.702;0.212;-1.041;0.064
7.703;0.178;-1.006;0.070
7.709;0.140;-0.982;0.077
7.709;0.111;-0.951;0.090
7.713;0.102;-0.932;0.115
7.719;0.092;-0.922;0.142
7.731;0.092;-0.921;0.167
7.731;0.096;-0.924;0.207
7.733;0.100;-0.955;0.251
7.739;0.102;-1.007;0.297
7.742;0.092;-1.073;0.359
7.747;0.050;-1.139;0.413
7.752;0.000;-1.193;0.451
7.757;-0.041;-1.224;0.475
7.762;-0.080;-1.235;0.476
7.768;-0.121;-1.228;0.461
7.776;-0.143;-1.203;0.437
7.778;-0.142;-1.163;0.402
7.783;-0.130;-1.120;0.361
7.822;-0.124;-1.073;0.316
7.823;-0.129;-1.030;0.260
7.823;-0.127;-0.994;0.179
7.824;-0.098;-0.957;0.041
7.824;-0.055;-0.940;-0.167
7.825;-0.027;-0.956;-0.414
7.825;-0.023;-0.977;-0.589
7.826;-0.035;-0.968;-0.589
7.826;-0.059;-0.940;-0.455
7.830;-0.102;-0.908;-0.288
7.835;-0.118;-0.864;-0.142
7.841;-0.108;-0.825;-0.036
7.845;-0.107;-0.789;0.042
7.850;-0.102;-0.754;0.102
7.856;-0.086;-0.729;0.134
7.860;-0.093;-0.712;0.159
7.865;-0.097;-0.691;0.170
7.870;-0.074;-0.664;0.132
7.875;-0.065;-0.644;0.102
7.879;-0.065;-0.640;0.108
7.885;-0.061;-0.634;0.103
7.905;-0.056;-0.636;0.103
7.907;-0.037;-0.642;0.113
7.908;-0.013;-0.652;0.121
7.909;0.014;-0.662;0.120
7.912;0.037;-0.673;0.109
7.914;0.037;-0.693;0.100
7.918;0.027;-0.709;0.092
7.956;0.022;-0.729;0.107
7.957;0.030;-0.739;0.128
7.958;0.035;-0.753;0.117
7.958;0.103;-0.773;0.038
7.959;0.274;-0.795;-0.035
