"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.299218750E-1;-1.316418290E0;4.214484215E0;8.847677231E0;9.888186219E0
1.319218750E-1;-1.190713167E0;4.092035294E0;8.840207100E0;9.813858174E0
1.339218750E-1;-1.062853098E0;3.988424063E0;8.819386482E0;9.737492549E0
1.359218750E-1;-9.586575031E-1;3.891027927E0;8.790349960E0;9.660712964E0
1.379218750E-1;-8.648717999E-1;3.805957079E0;8.767585754E0;9.597076246E0
1.399218750E-1;-7.465599775E-1;3.731439829E0;8.748096466E0;9.539925931E0
1.419218750E-1;-6.292920113E-1;3.656625986E0;8.724863052E0;9.481041995E0
1.439218750E-1;-5.163335800E-1;3.580739260E0;8.705327034E0;9.427142344E0
1.459218750E-1;-3.946889341E-1;3.501625299E0;8.700078964E0;9.386614570E0
1.479218750E-1;-2.484128028E-1;3.440755129E0;8.692215919E0;9.351744349E0
1.499218750E-1;-7.694964856E-2;3.388963938E0;8.678013802E0;9.316593871E0
1.519218750E-1;1.220085248E-1;3.363834143E0;8.630455017E0;9.263639675E0
1.539218750E-1;2.223542929E-1;3.344690084E0;8.620936394E0;9.249699319E0
1.559218750E-1;2.473497689E-1;3.324483156E0;8.667459488E0;9.286453798E0
1.579218750E-1;2.190503031E-1;3.331052780E0;8.741642952E0;9.357361656E0
1.599218750E-1;1.601720899E-1;3.366410494E0;8.832612038E0;9.453751114E0
1.619218750E-1;7.427770644E-2;3.401288986E0;8.932306290E0;9.558262373E0
1.639218750E-1;-3.395935893E-2;3.426696301E0;9.037441254E0;9.665337303E0
1.659218750E-1;-1.704192758E-1;3.452228308E0;9.162523270E0;9.792791006E0
1.679218750E-1;-3.267414868E-1;3.475250721E0;9.294856071E0;9.928669446E0
1.699218750E-1;-4.736784399E-1;3.495189667E0;9.443641663E0;1.008082784E1
1.719218750E-1;-5.884852409E-1;3.527731657E0;9.605652809E0;1.024986690E1
1.739218750E-1;-6.501502395E-1;3.572972775E0;9.758344650E0;1.041221014E1
1.759218750E-1;-6.618052125E-1;3.620923519E0;9.865470886E0;1.052979530E1
1.779218750E-1;-6.154247522E-1;3.672073126E0;9.915318489E0;1.059133653E1
1.799218750E-1;-5.356595516E-1;3.716366053E0;9.913575172E0;1.060081509E1
1.819218750E-1;-4.651072025E-1;3.790892839E0;9.877297401E0;1.059000459E1
1.837703120E-1;-4.344518483E-1;3.885367870E0;9.833876610E0;1.058253094E1
1.859218750E-1;-4.200770557E-1;3.928118944E0;9.810864449E0;1.057637199E1
1.879218750E-1;-3.993624151E-1;4.009972095E0;9.767318726E0;1.056597755E1
1.899218750E-1;-4.055011570E-1;4.075190067E0;9.724816322E0;1.055195043E1
1.919218750E-1;-4.354478121E-1;4.129882812E0;9.681300163E0;1.053437799E1
1.939218750E-1;-4.792138338E-1;4.160720348E0;9.646114349E0;1.051611914E1
1.960968750E-1;-5.402563810E-1;4.173543453E0;9.626491547E0;1.050617349E1
1.979437500E-1;-6.089603901E-1;4.167462349E0;9.611627579E0;1.049390108E1
1.999218750E-1;-6.740347743E-1;4.159877300E0;9.583826065E0;1.046941374E1
2.019218750E-1;-7.352593541E-1;4.149965286E0;9.564165115E0;1.045160622E1
2.039218750E-1;-7.980640531E-1;4.154735088E0;9.545328140E0;1.044088211E1
2.059218750E-1;-8.576126099E-1;4.171589851E0;9.529870987E0;1.043820398E1
2.079234370E-1;-9.064735174E-1;4.198146343E0;9.510363579E0;1.043518770E1
2.099218750E-1;-9.357784986E-1;4.246500015E0;9.486038208E0;1.043519835E1
2.119218750E-1;-9.534956217E-1;4.314274788E0;9.469910622E0;1.044994392E1
2.139218750E-1;-9.680619240E-1;4.384951591E0;9.454377174E0;1.046662276E1
2.160687500E-1;-9.787017703E-1;4.457218170E0;9.424324989E0;1.047103397E1
2.182984370E-1;-9.969264269E-1;4.524820805E0;9.401350975E0;1.048109087E1
2.201062500E-1;-1.009165645E0;4.604988098E0;9.391332626E0;1.050816155E1
2.219218750E-1;-1.004051566E0;4.682273388E0;9.388498306E0;1.053924590E1
2.239218750E-1;-9.755892754E-1;4.747644424E0;9.379715919E0;1.055798147E1
2.259218750E-1;-9.381535649E-1;4.803908348E0;9.361080170E0;1.056349798E1
2.279218750E-1;-8.939470053E-1;4.854310989E0;9.334934235E0;1.055956787E1
2.299218750E-1;-8.463790417E-1;4.905259609E0;9.316968918E0;1.056332519E1
2.319218750E-1;-8.128602505E-1;4.945750713E0;9.296062469E0;1.056115379E1
2.339218750E-1;-7.934097052E-1;4.978330612E0;9.284369469E0;1.056469550E1
2.359218750E-1;-7.934097052E-1;4.989401340E0;9.276574135E0;1.056307022E1
2.379218750E-1;-8.104181290E-1;4.969874382E0;9.265464783E0;1.054539077E1
2.399218750E-1;-8.273499012E-1;4.929948807E0;9.254853249E0;1.051861263E1
2.419218750E-1;-8.431516886E-1;4.886096001E0;9.236379623E0;1.048310772E1
2.439218750E-1;-8.535233140E-1;4.837139606E0;9.193274498E0;1.042318174E1
2.459218750E-1;-8.308550119E-1;4.781671047E0;9.135814667E0;1.034494116E1
2.479218750E-1;-7.845128775E-1;4.742061138E0;9.065032005E0;1.026047804E1
2.499218750E-1;-7.023438811E-1;4.703639030E0;8.991281509E0;1.017156086E1
2.519218750E-1;-6.203280687E-1;4.674812794E0;8.942525864E0;1.010977005E1
2.539218750E-1;-5.186032653E-1;4.655448914E0;8.890609741E0;1.004913407E1
2.559218750E-1;-3.616585433E-1;4.636965275E0;8.799467087E0;9.953032948E0
2.579218750E-1;-2.543695569E-1;4.599960327E0;8.777688980E0;9.913231699E0
2.599218750E-1;-1.872074157E-1;4.550429344E0;8.806237221E0;9.914195268E0
2.619218750E-1;-1.289612800E-1;4.496119022E0;8.819051743E0;9.899868227E0
2.639218750E-1;-7.861600816E-2;4.450332642E0;8.838913918E0;9.896365006E0
2.660984370E-1;-2.172977477E-2;4.420587063E0;8.854811668E0;9.896956696E0
2.679765620E-1;3.444777429E-2;4.392364025E0;8.858096123E0;9.887361392E0
2.699218750E-1;1.393042356E-1;4.414975166E0;8.823390007E0;9.867300675E0
2.719218750E-1;2.961148620E-1;4.479503632E0;8.708573341E0;9.797595952E0
2.739218750E-1;3.547536731E-1;4.451864719E0;8.605048180E0;9.694937020E0
2.760968750E-1;3.606721163E-1;4.421142578E0;8.558485031E0;9.639722615E0
2.779218750E-1;3.612371385E-1;4.440315247E0;8.548678398E0;9.639854465E0
2.799218750E-1;3.275555074E-1;4.471842289E0;8.535405159E0;9.641462923E0
2.819218750E-1;2.436531186E-1;4.463481426E0;8.522486687E0;9.623659003E0
2.839218750E-1;1.065036729E-1;4.425078392E0;8.494091988E0;9.578218023E0
2.859218750E-1;-5.545929074E-2;4.345610142E0;8.463550568E0;9.514152167E0
2.879218750E-1;-2.000211775E-1;4.253519535E0;8.434867859E0;9.448779429E0
2.899218750E-1;-3.096564710E-1;4.211133003E0;8.429207802E0;9.427675878E0
2.919218750E-1;-3.714939356E-1;4.214590073E0;8.429390907E0;9.431617480E0
2.939218750E-1;-3.732752204E-1;4.236424923E0;8.416471481E0;9.429932275E0
2.959218750E-1;-3.276417255E-1;4.280612469E0;8.390795708E0;9.425308739E0
2.979218750E-1;-2.630270123E-1;4.338829517E0;8.388152122E0;9.447524587E0
2.999218750E-1;-1.778125763E-1;4.414927483E0;8.391120911E0;9.483359749E0
3.019218750E-1;-8.905472606E-2;4.496923923E0;8.393553734E0;9.522709688E0
3.039218750E-1;-8.619125932E-3;4.570933342E0;8.407880783E0;9.570055651E0
3.059218750E-1;7.656657696E-2;4.639024258E0;8.418635368E0;9.612483028E0
3.079218750E-1;1.517349184E-1;4.693803787E0;8.432991028E0;9.652468863E0
3.099218750E-1;2.154781520E-1;4.734236717E0;8.433757782E0;9.674073519E0
3.119218750E-1;3.122996688E-1;4.775570393E0;8.413234711E0;9.679159155E0
3.139218750E-1;4.384070635E-1;4.814509869E0;8.371421814E0;9.667078629E0
3.159218750E-1;5.581458807E-1;4.846706867E0;8.340278625E0;9.662419047E0
3.179218750E-1;6.852109432E-1;4.857538700E0;8.325405121E0;9.663206853E0
3.199218750E-1;8.175049424E-1;4.882801533E0;8.332396507E0;9.692208040E0
3.219218750E-1;9.388239980E-1;4.908017635E0;8.351923943E0;9.732659511E0
3.239218750E-1;1.061464429E0;4.938960552E0;8.368893623E0;9.775398639E0
3.259218750E-1;1.160507798E0;4.972450733E0;8.384618759E0;9.817019730E0
3.279218750E-1;1.242245913E0;4.992830276E0;8.381467819E0;9.834659724E0
3.299218750E-1;1.314445376E0;4.997905731E0;8.361509323E0;9.829632064E0
3.319218750E-1;1.350961804E0;4.996210575E0;8.343046188E0;9.818026156E0
3.339218750E-1;1.367979884E0;4.973226070E0;8.318519592E0;9.787855471E0
3.359218750E-1;1.386204481E0;4.950232506E0;8.284550667E0;9.749879203E0
3.379218750E-1;1.396058917E0;4.926270962E0;8.252640724E0;9.712013438E0
3.399218750E-1;1.404141903E0;4.900384903E0;8.227607727E0;9.678786886E0
3.419218750E-1;1.415720224E0;4.882533550E0;8.225308418E0;9.669493068E0
3.439218750E-1;1.422423959E0;4.862834454E0;8.223958015E0;9.659396165E0
3.459218750E-1;1.436731696E0;4.843115807E0;8.220702171E0;9.648829612E0
3.479218750E-1;1.439566374E0;4.822487354E0;8.225500107E0;9.643007188E0
3.499218750E-1;1.464657664E0;4.807499409E0;8.225826263E0;9.639579366E0
3.519218750E-1;1.505540967E0;4.803266525E0;8.223997116E0;9.642206774E0
3.539218750E-1;1.560531139E0;4.797798157E0;8.209573746E0;9.635934084E0
3.560968750E-1;1.618135571E0;4.793958187E0;8.180891991E0;9.619115946E0
3.579218750E-1;1.681122184E0;4.788384438E0;8.153980255E0;9.604279844E0
3.599218750E-1;1.735087514E0;4.772218704E0;8.128448486E0;9.584167926E0
3.619218750E-1;1.795047998E0;4.760687828E0;8.105024338E0;9.569627236E0
3.639218750E-1;1.858752847E0;4.747060776E0;8.102093697E0;9.572537303E0
3.659218750E-1;1.921337247E0;4.716242313E0;8.110234261E0;9.576553563E0
3.679218750E-1;1.976068735E0;4.664134979E0;8.109716415E0;9.561720718E0
3.699218750E-1;2.032341957E0;4.613703251E0;8.124694824E0;9.561764351E0
3.719218750E-1;2.088960171E0;4.555716038E0;8.161536217E0;9.577524556E0
3.739218750E-1;2.157396078E0;4.507860184E0;8.210072517E0;9.611475018E0
3.759218750E-1;2.242112637E0;4.463443279E0;8.266766548E0;9.658613987E0
3.779218750E-1;2.334806442E0;4.424092293E0;8.314191818E0;9.703076797E0
3.799218750E-1;2.425374269E0;4.386369228E0;8.354087830E0;9.742353864E0
3.819218750E-1;2.509937525E0;4.331187725E0;8.388459206E0;9.768583384E0
3.839218750E-1;2.579407454E0;4.260826588E0;8.417745590E0;9.780921574E0
3.859218750E-1;2.634464502E0;4.189967632E0;8.455333710E0;9.797392516E0
3.879218750E-1;2.646675110E0;4.074778080E0;8.471097946E0;9.765664645E0
3.899218750E-1;2.643811464E0;3.961178064E0;8.482704163E0;9.728151964E0
3.919218750E-1;2.648149967E0;3.890386343E0;8.481450081E0;9.699628839E0
3.939218750E-1;2.662697077E0;3.833327532E0;8.474612236E0;9.674885438E0
3.959218750E-1;2.698916435E0;3.787406683E0;8.471787453E0;9.664356262E0
3.979218750E-1;2.721690178E0;3.739120722E0;8.467324257E0;9.648015406E0
3.999218750E-1;2.745172501E0;3.686859846E0;8.455027580E0;9.623741422E0
4.019218750E-1;2.764670849E0;3.619697809E0;8.435089111E0;9.586258157E0
4.039218750E-1;2.769698620E0;3.546023369E0;8.397931099E0;9.527368940E0
4.059218750E-1;2.781957150E0;3.474523067E0;8.355524063E0;9.467120919E0
4.079218750E-1;2.822380543E0;3.424321175E0;8.311691284E0;9.422102708E0
4.099218750E-1;2.869948626E0;3.399019480E0;8.280873299E0;9.400148995E0
4.119218750E-1;2.924689770E0;3.389911890E0;8.259966850E0;9.395337420E0
4.139218750E-1;2.987992525E0;3.390831232E0;8.264507294E0;9.419549702E0
4.159218750E-1;3.037188530E0;3.408203602E0;8.278958321E0;9.454179860E0
4.179218750E-1;3.083798885E0;3.417990923E0;8.311298370E0;9.501060894E0
4.199218750E-1;3.124701500E0;3.431982994E0;8.347528458E0;9.551099313E0
4.219218750E-1;3.165891171E0;3.448292017E0;8.398552895E0;9.615054626E0
4.239218750E-1;3.232306480E0;3.443685532E0;8.450966835E0;9.681199082E0
4.259218750E-1;3.308269501E0;3.421256781E0;8.489494324E0;9.732479587E0
4.279218750E-1;3.401336908E0;3.374933720E0;8.512488365E0;9.768404606E0
4.299218750E-1;3.499691010E0;3.341874599E0;8.530579567E0;9.807484425E0
4.319218750E-1;3.583775043E0;3.309150696E0;8.543326378E0;9.837801964E0
4.339218750E-1;3.634541750E0;3.278514385E0;8.559864998E0;9.860519210E0
4.360984370E-1;3.634168386E0;3.241183996E0;8.573444366E0;9.859837821E0
4.379218750E-1;3.612725735E0;3.228245735E0;8.588996887E0;9.861248668E0
4.399218750E-1;3.559507608E0;3.230754852E0;8.610143661E0;9.861158411E0
4.419218750E-1;3.474206924E0;3.227268934E0;8.647712708E0;9.862469954E0
4.439218750E-1;3.349133730E0;3.228341579E0;8.697550774E0;9.863380534E0
4.459218750E-1;3.182545185E0;3.223763943E0;8.770947456E0;9.871715509E0
4.479218750E-1;2.984841824E0;3.234241009E0;8.857952118E0;9.891052084E0
4.499218750E-1;2.761970282E0;3.256478310E0;8.956420898E0;9.922227881E0
4.519218750E-1;2.530355215E0;3.307714224E0;9.059792519E0;9.971133907E0
4.539218750E-1;2.297906876E0;3.380919218E0;9.159899712E0;1.003069058E1
4.559218750E-1;2.088433266E0;3.470318794E0;9.252709389E0;1.010036123E1
4.579218750E-1;1.903553128E0;3.586131096E0;9.328642845E0;1.017386004E1
4.599218750E-1;1.740718722E0;3.731114149E0;9.402777672E0;1.026467449E1
4.619218750E-1;1.583333492E0;3.879372835E0;9.460419655E0;1.034678784E1
4.639218750E-1;1.429874778E0;4.000653744E0;9.490883827E0;1.039839642E1
4.659218750E-1;1.319942474E0;4.121512890E0;9.497443199E0;1.043697964E1
4.679218750E-1;1.263487339E0;4.248204708E0;9.501235962E0;1.048413698E1
4.699218750E-1;1.244869947E0;4.373651028E0;9.463599205E0;1.049943972E1
4.719218750E-1;1.282171607E0;4.500083923E0;9.397663116E0;1.049813276E1
4.739218750E-1;1.411391497E0;4.659518719E0;9.305448532E0;1.050211945E1
4.759218750E-1;1.690957665E0;4.983482838E0;9.233928680E0;1.062825846E1
4.779218750E-1;2.254466534E0;5.491762161E0;9.182472229E0;1.093434347E1
4.799218750E-1;2.750918627E0;5.771031857E0;9.011554718E0;1.104900359E1
4.819218750E-1;3.026472092E0;5.854101181E0;8.811725616E0;1.100347865E1
4.839218750E-1;3.141968250E0;5.837465763E0;8.630608559E0;1.088280180E1
4.859218750E-1;3.183301687E0;5.809549809E0;8.473883629E0;1.075597426E1
4.879218750E-1;3.219559669E0;5.806092262E0;8.316527367E0;1.064147073E1
4.899218750E-1;3.221905947E0;5.781949043E0;8.157446861E0;1.050502508E1
4.919218750E-1;3.182928562E0;5.735980511E0;8.016812325E0;1.035865756E1
4.939218750E-1;3.113094330E0;5.691246986E0;7.902034283E0;1.022368790E1
4.959218750E-1;3.029306889E0;5.626259327E0;7.810211658E0;1.009112979E1
4.979218750E-1;2.929679155E0;5.565714359E0;7.750672340E0;9.981639044E0
4.999218750E-1;2.821528435E0;5.497632980E0;7.709635735E0;9.880459213E0
5.019218750E-1;2.663405657E0;5.401884079E0;7.680608273E0;9.760421340E0
5.039218750E-1;2.489423752E0;5.337010860E0;7.679468632E0;9.677559300E0
5.059218750E-1;2.327614307E0;5.305225372E0;7.710114956E0;9.644121383E0
5.079218750E-1;2.172565699E0;5.271218300E0;7.733137131E0;9.607663294E0
5.099218750E-1;2.051074266E0;5.234673023E0;7.734660149E0;9.562095739E0
5.119218750E-1;1.950498700E0;5.185093880E0;7.722717762E0;9.504210296E0
5.139218750E-1;1.838268042E0;5.132009983E0;7.699015141E0;9.433535392E0
5.160968750E-1;1.715512514E0;5.102494240E0;7.694025993E0;9.390232513E0
5.179218750E-1;1.590190411E0;5.066073418E0;7.681949139E0;9.338423207E0
5.199218750E-1;1.484376311E0;5.018773556E0;7.638939857E0;9.259852223E0
5.219218750E-1;1.399219394E0;4.966129780E0;7.565122128E0;9.157037332E0
5.239218750E-1;1.338674784E0;4.909617424E0;7.468453407E0;9.037377370E0
5.259218750E-1;1.294621468E0;4.861120224E0;7.350821972E0;8.907363147E0
5.279218750E-1;1.256936789E0;4.821615696E0;7.226744652E0;8.778024053E0
5.299218750E-1;1.211437345E0;4.792981148E0;7.095513821E0;8.647922589E0
5.319218750E-1;1.161321878E0;4.773501873E0;6.982804298E0;8.537830199E0
5.339218750E-1;1.115956545E0;4.766529560E0;6.893940926E0;8.455269632E0
5.359218750E-1;1.086096048E0;4.758111954E0;6.831279755E0;8.395571278E0
5.379218750E-1;1.059568405E0;4.754137516E0;6.785924435E0;8.353040115E0
5.399218750E-1;1.040213585E0;4.747606277E0;6.771396160E0;8.335083420E0
5.419218750E-1;1.024172544E0;4.739676952E0;6.781988144E0;8.337195584E0
5.439218750E-1;1.017430305E0;4.728864193E0;6.841775894E0;8.378974780E0
5.459218750E-1;1.018148661E0;4.737090588E0;6.944343567E0;8.467618408E0
5.479218750E-1;1.012230158E0;4.764394760E0;7.091280937E0;8.602925819E0
5.499218750E-1;1.004032373E0;4.805009842E0;7.268614292E0;8.770915250E0
5.519218750E-1;1.003534436E0;4.839361668E0;7.436860085E0;8.929355555E0
5.539218750E-1;1.012871861E0;4.865036964E0;7.585951805E0;9.068691133E0
5.559218750E-1;1.048162341E0;4.896803379E0;7.714960575E0;9.197714080E0
5.579218750E-1;1.095806956E0;4.924987793E0;7.827545643E0;9.312720786E0
5.599218750E-1;1.146765113E0;4.935636997E0;7.921216488E0;9.403257597E0
5.619218750E-1;1.198661923E0;4.932189465E0;7.985045910E0;9.461725081E0
5.639218750E-1;1.240263581E0;4.911331177E0;8.031637192E0;9.495610758E0
5.659218750E-1;1.261983752E0;4.869452000E0;8.064246178E0;9.504537452E0
5.679218750E-1;1.270152688E0;4.817277431E0;8.085889816E0;9.497424063E0
5.699218750E-1;1.274414420E0;4.761233807E0;8.096490860E0;9.478746949E0
5.719218750E-1;1.273360968E0;4.712804317E0;8.094853401E0;9.452969072E0
5.739218750E-1;1.261600614E0;4.665369987E0;8.086598396E0;9.420742373E0
5.759203120E-1;1.239956975E0;4.629572392E0;8.072463036E0;9.388029255E0
5.779203120E-1;1.211466074E0;4.595324993E0;8.065749168E0;9.361675677E0
5.799218750E-1;1.182036519E0;4.563310146E0;8.053376198E0;9.331552819E0
5.819218750E-1;1.153440237E0;4.545640945E0;8.038378716E0;9.306385354E0
5.839218750E-1;1.120773673E0;4.530068874E0;8.026187897E0;9.284252786E0
5.859218750E-1;1.076193571E0;4.513453007E0;8.018852234E0;9.264525989E0
5.879218750E-1;1.031201839E0;4.505322933E0;8.022271156E0;9.258409500E0
5.899218750E-1;1.009270906E0;4.511126041E0;8.028820992E0;9.264494181E0
5.919218750E-1;1.001935124E0;4.533047199E0;8.043521881E0;9.287122006E0
5.939218750E-1;1.024881124E0;4.575032234E0;8.064198494E0;9.328054385E0
5.960968750E-1;1.089467168E0;4.614862442E0;8.098770142E0;9.384773406E0
5.979218750E-1;1.185512900E0;4.670034409E0;8.139098167E0;9.458307523E0
